theme,url,image,lines,author
DISCOVERY,/inspirational-quotes/8409-by-mutual-confidence-and-mutual-aid-great-deeds,https://assets.passiton.com/quotes/quote_artwork/8409/medium/20240103_wednesday_quote.jpg,"By mutual confidence and mutual aid great deeds are done, and great discoveries made.",<Author:0x00007f67ae157b48>
DISCOVERY,/inspirational-quotes/8340-there-are-always-new-things-to-find-out-if-you,https://assets.passiton.com/quotes/quote_artwork/8340/medium/20240102_tuesday_quote.jpg,There are always new things to find out if you go looking for them.,<Author:0x00007f67adee9410>
DISCOVERY,/inspirational-quotes/7352-the-real-voyage-of-discovery-consists-of-not-in,https://assets.passiton.com/quotes/quote_artwork/7352/medium/20240101_monday_quote.jpg,The real voyage of discovery consists of not in seeking new landscapes but in having new eyes.,<Author:0x00007f67aed4fd60>
OPTIMISM,/inspirational-quotes/7855-i-close-my-eyes-to-old-ends-and-open-my-heart,https://assets.passiton.com/quotes/quote_artwork/7855/medium/20231229_friday_quote.jpg,I close my eyes to old ends. And open my heart to new beginnings.,<Author:0x00007f67ae8d67e8>
OPTIMISM,/inspirational-quotes/5393-reach-high-for-stars-lie-hidden-in-your-soul,https://assets.passiton.com/quotes/quote_artwork/5393/medium/20231228_thursday_quote.jpg,"Reach high, for stars lie hidden in your soul. Dream deep, for every dream precedes the goal.",<Author:0x00007f67aec84408>
OPTIMISM,/inspirational-quotes/5223-no-winter-lasts-forever-no-spring-skips-its-turn,https://assets.passiton.com/quotes/quote_artwork/5223/medium/20231227_wednesday_quote.jpg,No winter lasts forever; no spring skips it's turn.,<Author:0x00007f67ae89a888>
OPTIMISM,/inspirational-quotes/7858-what-a-wonderful-thought-it-is-that-some-of-the,https://assets.passiton.com/quotes/quote_artwork/7858/medium/20231226_tuesday_quote.jpg,What a wonderful thought it is that some of the best days of our lives haven't even happened yet.,<Author:0x00007f67adf15100>
JOY,/inspirational-quotes/7329-joy-is-the-holy-fire-that-keeps-our-purpose,https://assets.passiton.com/quotes/quote_artwork/7329/medium/20231225_monday_quote.jpg,Joy is the holy fire that keeps our purpose warm and our intelligence aglow.,<Author:0x00007f67adeff990>
JOY,/inspirational-quotes/8322-if-you-carry-joy-in-your-heart-you-can-heal,https://assets.passiton.com/quotes/quote_artwork/8322/medium/20231222_friday_quote.jpg,"If you carry joy in your heart, you can heal any moment.",<Author:0x00007f67ae870e98>
JOY,/inspirational-quotes/8408-a-joy-shared-is-a-joy-doubled,https://assets.passiton.com/quotes/quote_artwork/8408/medium/20231221_thursday_quote.jpg,A joy shared is a joy doubled.,<Author:0x00007f67ae8ab020>
JOY,/inspirational-quotes/8407-the-joy-of-giving-is-the-greatest-joy-of-life,https://assets.passiton.com/quotes/quote_artwork/8407/medium/20231220_wednesday_quote.jpg,The joy of giving is the greatest joy of life.,<Author:0x00007f67adf3cc78>
JOY,/inspirational-quotes/7482-joy-is-a-decision-a-really-brave-one-about,https://assets.passiton.com/quotes/quote_artwork/7482/medium/20231219_tuesday_quote.jpg,"Joy is a decision, a really brave one, about how you are going to respond to life.",<Author:0x00007f67adf261f8>
JOY,/inspirational-quotes/7328-joy-is-what-happens-to-us-when-we-allow,https://assets.passiton.com/quotes/quote_artwork/7328/medium/20231218_monday_quote.jpg,Joy is what happens to us when we allow ourselves to recognize how good things really are.,<Author:0x00007f67adedb9a0>
CHANGE,/inspirational-quotes/8405-change-in-all-things-is-sweet,https://assets.passiton.com/quotes/quote_artwork/8405/medium/20231215_friday_quote.jpg,Change in all things is sweet.,<Author:0x00007f67adec9d90>
